Week,Phase,Task,Description,Working days
1,Сайт + основа,Лендінг (EN + UA),"Головна з двома кнопками ""Купити SMM-послуги"" / ""Орендувати акаунт"". Блок ""Як це працює"", FAQ, контакти. Тексти редагуються в адмінці.",1
1,Сайт + основа,Реєстрація і логін,"Юзер реєструється через email, отримує лист підтвердження, може скинути пароль.",0.5
1,Сайт + основа,Захист даних акаунтів,"Усі паролі, проксі і 2FA-секрети зберігаються зашифрованими (AES-256). Невидимо для юзера — захищає бізнес.",0.5
1,Сайт + основа,Інфраструктура,"Налаштовано базу даних, домен, деплой, окремий сервер для авто-задач.",0.5
2,Маркетплейс,Каталог SMM-послуг,"Картки послуг (старт — Connections; далі легко додавати Followers / Likes / Comments). Пакети 25/50/75/100. Якщо немає вільних акаунтів — великий пакет неактивний.",1.5
2,Маркетплейс,Каталог акаунтів для оренди,"Картки акаунтів з гео, кількістю connections, ціною. Фільтри. Поштучний вибір або готові пакети.",1.5
2,Маркетплейс,Форма замовлення,"Заявка → email + Telegram адміну з кнопками ""Прийняти / Відхилити"".",1
2,Маркетплейс,База акаунтів в адмінці,"CRUD + CSV-імпорт. Поля: login, password, proxy, 2FA, гео, статус, пул (SMM / Rental).",1
3,Кабінет + сповіщення,Особистий кабінет,"""Мої замовлення"" + ""Мої акаунти"" з кнопками: показати дані, показати 2FA-код, продовжити, поскаржитися.",1
3,Кабінет + сповіщення,Адмін-дашборд,"Кількість акаунтів по пулах і статусах. Bulk-дії, ручна заміна, перегляд ""хто і до коли орендує"".",1.5
3,Кабінет + сповіщення,Email-сповіщення (8 типів),"Підтвердження, видача, нагадування 3д / 1д, експірація, авто-заміна.",1
3,Кабінет + сповіщення,Telegram-бот для адміна,"Алерти адміну з inline-кнопками ""Прийняти / Відхилити"".",1
4,Автоматика + запуск,Авто-зміна пароля при експірації,"Сервіс заходить на LinkedIn, змінює пароль, оновлює 2FA. Старі дані юзера невалідні.",2.5
4,Автоматика + запуск,Інтеграція з ADSPower / LinkedinHelper,"Сервіс раз на годину пулить стан акаунтів, переключає статус ""warming → ready"" автоматично.",1.5
4,Автоматика + запуск,Авто-заміна забанених,"Якщо акаунт забанили під час оренди — автоматично видається інший з пулу і гео.",1
4,Автоматика + запуск,Тестування + доведення,"Перевірка ключових сценаріїв, мобільна версія, виправлення дрібних багів.",1.5
4,Автоматика + запуск,Production-запуск,"Деплой сайту + воркера, налаштування БД, інструкція для адміна.",1
,,,Total working days,19.5
